"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"AP3S2","BAZ2A","BEST1","","SCN4A","","BAZ2A","AUP1","CCT5","","TACC2","","BEST1","CCT5","ARFGEF3","TCEA1","POLR2B","","","","TCEA1","TCEA1","","","SCN4A","TACC2","POLR2B","","PCNX2","","","","","","","","USO1","CCDC171","","","","BLACAT1","AXIN2","","","","BCL7B","CXCL16","","","","APLN","BANF1","ARHGEF37","ZMYM3","","APOE","BCL2L2","ARK2C","","","AP5B1","B4GALNT2","ARHGAP11A","UNC5B","PPHLN1"
"AP4B1","BBS2","BEX2","","SESN2","","BBS2","AURKA","CCT8","","TARDBP","","BEX2","CCT8","ARG2","THAP9-AS1","PPHLN1","","","","THAP9-AS1","THAP9-AS1","","","SESN2","TARDBP","PPHLN1","","PGPEP1","","","","","","","","USP15","CCDC183-AS1","","","","BLCAP","AZI2","","","","BEGAIN","CYCS","","","","APOA1","BAZ2A","ARHGEF39","ZNF207","","APOL6","BCLAF1","ARL1","","","AP5Z1","B4GALT1","ARHGAP19","UPP1","PPM1A"
"AP5B1","BCL2L2","BGN","","SFPQ","","BCL2L2","B4GALNT2","CDC20","","TCP1","","BGN","CDC20","ARHGAP11A","TMEM139","PPM1A","","","","TMEM139","TMEM139","","","SFPQ","TCP1","PPM1A","","PGRMC1","","","","","","","","USP54","CCDC89","","","","BLMH","B3GALNT2","","","","BIRC3","CYTH3","","","","APOE","BBS2","ARIH1","ZNF358","","APOO","BEST1","ARL3","","","APC","B9D2","ARHGAP33","VEGFA","PPP1R15A"
"AP5Z1","BCLAF1","BICDL2","","SHMT2","","BCLAF1","B4GALT1","CDC27","","THAP9-AS1","","BICDL2","CDC27","ARHGAP19","TMPRSS3","PPP1R15A","","","","TMPRSS3","TMPRSS3","","","SHMT2","THAP9-AS1","PPP1R15A","","PHGDH","","","","","","","","USP7","CCDC90B","","","","BLTP1","B4GALNT1","","","","BLACAT1","DBNDD2","","","","APOL6","BCL2L2","ARIH2","ZNF419","","APP","BGN","ARL6IP1","","","APEX1","BACH2","ARHGAP9","VLDLR-AS1","PPP2R1B"
"APC","BEST1","BICRAL","","SLC1A4","","BEST1","B9D2","CDC42EP1","","TMEM268","","BICRAL","CDC42EP1","ARHGAP33","TOX2","PPP2R1B","","","","TOX2","TOX2","","","SLC1A4","TMEM268","PPP2R1B","","PLRG1","","","","","","","","UTP6","CCDC92","","","","BMAL1","B4GAT1","","","","BLCAP","DDR2","","","","APOO","BCLAF1","ARK2C","ZNF516","","AQP5-AS1","BIRC2","ARMC10","","","API5","BAG3","ARHGEF17","WARS1","PROSER2"
"APEX1","BEX2","BIRC2","","SLC1A5","","BEX2","BACH2","CDC5L","","TNFRSF10B","","BIRC2","CDC5L","ARHGAP9","TRIB3","PROSER2","","","","TRIB3","TRIB3","","","SLC1A5","TNFRSF10B","PROSER2","","PMAIP1","","","","","","","","VCF2","CCNA1","","","","BMP8A","BAIAP2L1","","","","BLMH","DDTL","","","","APP","BEST1","ARL1","ZNF530","","AR","BIRC3","ARMC5","","","APLN","BAIAP2","ARHGEF17-AS1","WDR45","PSMC2"
"API5","BGN","BIRC5","","SLC25A24","","BGN","BAG3","CDCA2","","TOX2","","BIRC5","CDCA2","ARHGEF17","TRIM16L","PSMC2","","","","TRIM16L","TRIM16L","","","SLC25A24","TOX2","PSMC2","","POLR2B","","","","","","","","VPS16","CCND1","","","","BMPR1A","BARD1","","","","BLTP1","DDX1","","","","AQP5-AS1","BGN","ARL3","ZNF672","","ARF1","BIRC5","ARMCX6","","","APOA1","BAIAP2L2","ARHGEF2","WT1","PSPH"
"APLN","BIRC2","BLTP3A","","SLC3A2","","BIRC2","BAIAP2","CDCA3","","TRIB3","","BLTP3A","CDCA3","ARHGEF17-AS1","TUBE1","PSPH","","","","TUBE1","TUBE1","","","SLC3A2","TRIB3","PSPH","","PPHLN1","","","","","","","","VPS29","CCND3","","","","BMPR1B-DT","BATF3","","","","BMP8A","DDX39B","","","","AR","BIRC2","ARL6IP1","ZSCAN18","","ARFGEF3","BMP7","ARPC5","","","APOE","BANF1","ARHGEF37","XBP1","PVR"
"APOA1","BIRC3","BMAL1","","SLC6A9","","BIRC3","BAIAP2L2","CDCA8","","TSC22D3","","BMAL1","CDCA8","ARHGEF2","UCHL1","PVR","","","","UCHL1","TXNIP","","","SLC6A9","TSC22D3","PVR","","PPM1A","","","","","","","","VPS37C","CCSAP","","","","BOC","BBC3","","","","BMPR1B-DT","DDX52","","","","ARF1","BIRC3","ARMC10","","","ARHGAP1","BMPER","ARRB1","","","APOL6","BAZ2A","ARHGEF39","ZFAND1","PXMP4"
"APOE","BIRC5","BMP7","","SLC7A1","","BIRC5","BANF1","CDCP1","","TSPYL1","","BMP7","CDCP1","ARHGEF37","UNC5B","PXMP4","","","","UNC5B","UCHL1","","","SLC7A1","TSPYL1","PXMP4","","PPP1R15A","","","","","","","","WNT3","CCSER2","","","","BOD1","BCAR3","","","","BMS1","DENND2B","","","","ARFGEF3","BIRC5","ARMC5","","","ARHGAP11A","BMS1","ARVCF","","","APOO","BBS2","ARIH1","ZFP36L1","PYCR1"
"APOL6","BLTP3A","BMPER","","SLC7A11","","BLTP3A","BAZ2A","CDK1","","TUBE1","","BMPER","CDK1","ARHGEF39","UPP1","PYCR1","","","","UPP1","UNC5B","","","SLC7A11","TUBE1","PYCR1","","PPP2R1B","","","","","","","","YOD1","CD276","","","","BOLA1","BCL2L13","","","","BNIP3L","DFFA","","","","ARHGAP1","BMPER","ARMCX6","","","ARHGAP11B","BNC2","ASAH2B","","","APP","BCL2L2","ARIH2","","PYCR2"
"APOO","BMP7","BMPR1A","","SNHG29","","BMP7","BBS2","CDKN1A","","ULBP1","","BMPR1A","CDKN1A","ARIH1","VEGFA","PYCR2","","","","VEGFA","UPP1","","","SNHG29","ULBP1","PYCR2","","PROSER2","","","","","","","","ZCCHC8","CD2AP","","","","BPIFA2","BDNF","","","","BOC","DGKI","","","","ARHGAP11A","BMS1","ARPC5","","","ARHGAP19","BNIP3L","ASB9","","","AQP5-AS1","BCLAF1","ARK2C","","QRICH1"
"APP","BMPER","BNC2","","SNTB1","","BMPER","BCL2L2","CDKN2C","","UTP3","","BNC2","CDKN2C","ARIH2","VLDLR-AS1","QRICH1","","","","VLDLR-AS1","VEGFA","","","SNTB1","UTP3","QRICH1","","PSMC2","","","","","","","","ZFHX2","CDC23","","","","BRAF","BEND7","","","","BRD9","DHRS2","","","","ARHGAP11B","BNC2","ARRB1","","","ARHGAP23","BORA","ASF1B","","","AR","BEST1","ARL1","","R3HDM2"
"AQP5-AS1","BMS1","BOD1","","SON","","BMS1","BCLAF1","CDKN2D","","VCP","","BOD1","CDKN2D","ARK2C","WARS1","R3HDM2","","","","WARS1","VLDLR-AS1","","","SON","VCP","R3HDM2","","PSPH","","","","","","","","ZNF385A","CDC34","","","","BRAP","BEX4","","","","BRINP1","DHRS7","","","","ARHGAP19","BNIP3L","ARVCF","","","ARHGAP24","BRIX1","ASMTL","","","ARF1","BEX2","ARL3","","RAB3IP"
"AR","BNC2","BOLA1","","SOX5","","BNC2","BEST1","CDKN3","","VEGFA","","BOLA1","CDKN3","ARL1","WDR45","RAB3IP","","","","WDR45","WARS1","","","SOX5","VEGFA","RAB3IP","","PVR","","","","","","","","ZNF428","CDC42BPA","","","","BRD8","BICD1","","","","BRIX1","DHX58","","","","ARHGAP23","BORA","ASAH2B","","","ARHGAP29","BRPF3","ASNSP1","","","ARFGEF3","BGN","ARL6IP1","","RANBP6"
"ARF1","BNIP3L","BORA","","SRRT","","BNIP3L","BEX2","CEACAM19","","VLDLR-AS1","","BORA","CEACAM19","ARL3","WT1","RANBP6","","","","WT1","WDR45","","","SRRT","VLDLR-AS1","RANBP6","","PXMP4","","","","","","","","","CDC42BPB","","","","BRD9","BICDL2","","","","BTC","DLD","","","","ARHGAP24","BRIX1","ASB9","","","ARHGAP39","BRSK1","ASPM","","","ARHGAP1","BIRC2","ARMC10","","RASD1"
"ARFGEF3","BORA","BPIFA2","","STC2","","BORA","BGN","CEBPB","","WARS1","","BPIFA2","CEBPB","ARL6IP1","XBP1","RASD1","","","","XBP1","WT1","","","STC2","WARS1","RASD1","","PYCR1","","","","","","","","","CDC42EP3","","","","BRINP1","BICRAL","","","","BTF3","DLGAP3","","","","ARHGAP29","BRPF3","ASF1B","","","ARHGAP9","BST2","ASS1","","","ARHGAP11A","BIRC3","ARMC5","","RBBP8"
"ARHGAP1","BRIX1","BRAF","","TACC2","","BRIX1","BIRC2","CEBPG","","YARS1","","BRAF","CEBPG","ARMC10","ZFAND1","RBBP8","","","","ZFAND1","XBP1","","","TACC2","YARS1","RBBP8","","PYCR2","","","","","","","","","CDC42EP4","","","","BTC","BLM","","","","BUB3","DMAC1","","","","ARHGAP39","BRSK1","ASMTL","","","ARHGDIB","BTF3","ASXL1","","","ARHGAP11B","BIRC5","ARMCX6","","RBM12"
"ARHGAP11A","BRPF3","BRAP","","TARDBP","","BRPF3","BIRC3","CEND1","","ZBED3","","BRAP","CEND1","ARMC5","ZFP36L1","RBM12","","","","ZFP36L1","ZFAND1","","","TARDBP","ZBED3","RBM12","","QRICH1","","","","","","","","","CDCA7","","","","BUB3","BMAL1","","","","BZW1","DNAH17","","","","ARHGAP9","BST2","ASPM","","","ARHGEF1","BUB1","ATAD1","","","ARHGAP19","BLTP3A","ARPC5","","RHBDD1"
"ARHGAP11B","BRSK1","BRD8","","TCP1","","BRSK1","BIRC5","CENPA","","ZFAND1","","BRD8","CENPA","ARMCX6","","RHBDD1","","","","","ZFP36L1","","","TCP1","ZFAND1","RHBDD1","","R3HDM2","","","","","","","","","CDK2","","","","C11orf24","BMAL2","","","","BZW2","DNAH5","","","","ARHGDIB","BTF3","ASS1","","","ARHGEF11","BUB1B","ATAD2","","","ARHGAP23","BMP7","ARRB1","","RNF41"
"ARHGAP19","BTF3","BRPF3","","THAP9-AS1","","BTF3","BLTP3A","CENPF","","ZNF207","","BRPF3","CENPF","ARPC5","","RNF41","","","","","","","","THAP9-AS1","ZNF207","RNF41","","RAB3IP","","","","","","","","","CDK5","","","","C19orf53","BMP4","","","","C11orf24","DNAJC7","","","","ARHGEF1","BUB1","ASXL1","","","ARHGEF17-AS1","BZW1","ATF3","","","ARHGAP24","BMPER","ARVCF","","SAFB"
"ARHGAP23","BUB1","BRSK1","","TMEM268","","BUB1","BMP7","CENPI","","ZNF358","","BRSK1","CENPI","ARRB1","","SAFB","","","","","","","","TMEM268","ZNF358","SAFB","","RANBP6","","","","","","","","","CENPB","","","","C1D","BMPR1A","","","","C11orf58","DNASE1","","","","ARHGEF11","BUB1B","ATAD1","","","ARHGEF26","BZW2","ATF6","","","ARHGAP29","BMS1","ASAH2B","","SAR1A"
"ARHGAP24","BUB1B","BUB1","","TNFRSF10B","","BUB1B","BMPER","CEP55","","ZNF516","","BUB1","CEP55","ARVCF","","SAR1A","","","","","","","","TNFRSF10B","ZNF516","SAR1A","","RASD1","","","","","","","","","CENPO","","","","C1orf131","BOD1","","","","C15orf48","DNM1","","","","ARHGEF17","BZW1","ATAD2","","","ARHGEF37","C11orf58","ATG101","","","ARHGAP39","BNC2","ASB9","","SARS1"
"ARHGAP29","BZW1","BUB1B","","TOX2","","BZW1","BMS1","CETN2","","ZSCAN18","","BUB1B","CETN2","ASAH2B","","SARS1","","","","","","","","TOX2","ZSCAN18","SARS1","","RBBP8","","","","","","","","","CEP120","","","","C1orf43","BOLA1","","","","C19orf53","DNM1L","","","","ARHGEF17-AS1","BZW2","ATF3","","","ARHGEF39","C15orf48","ATG13","","","ARHGAP9","BNIP3L","ASF1B","","SCN4A"
"ARHGAP39","BZW2","C1GALT1C1","","TRIB3","","BZW2","BNC2","CFL1","","","","C1GALT1C1","CFL1","ASB9","","SCN4A","","","","","","","","TRIB3","","SCN4A","","RBM12","","","","","","","","","CEP128","","","","C2orf76","BORCS5","","","","C1D","DNMT1","","","","ARHGEF2","C11orf58","ATF6","","","ARID3B","C19orf25","ATN1","","","ARHGDIB","BORA","ASMTL","","SEC23IP"
"ARHGAP9","C11orf58","C1orf43","","TRIM24","","C11orf58","BNIP3L","CFL2","","","","C1orf43","CFL2","ASF1B","","SEC23IP","","","","","","","","TRIM24","","SEC23IP","","RHBDD1","","","","","","","","","CEP170B","","","","C3orf62","BPIFA2","","","","C1S","DOC2B","","","","ARHGEF26","C15orf48","ATG101","","","ARIH2","C1GALT1C1","ATP11C","","","ARHGEF1","BRIX1","ASNS","","SESN2"
"ARHGDIB","C15orf48","C3","","TSC22D3","","C15orf48","BORA","CHAC1","","","","C3","CHAC1","ASMTL","","SESN2","","","","","","","","TSC22D3","","SESN2","","RNF41","","","","","","","","","CEP78","","","","C4orf19","BRAF","","","","C1orf131","DPH6","","","","ARHGEF37","C19orf25","ATG13","","","ARK2C","C1S","ATP13A2","","","ARHGEF11","BRPF3","ASNSP1","","SF3B4"
"ARHGEF1","C1GALT1C1","C4orf3","","TSEN15","","C1GALT1C1","BRIX1","CHCHD7","","","","C4orf3","CHCHD7","ASNS","","SF3B4","","","","","","","","TSEN15","","SF3B4","","SAFB","","","","","","","","","CERCAM","","","","C5AR1","BRAP","","","","C2CD3","DPP4","","","","ARHGEF39","C1GALT1C1","ATN1","","","ARL1","C2CD3","ATP1B1","","","ARHGEF17","BRSK1","ASPM","","SFPQ"
"ARHGEF11","C1S","C5AR1","","TSPYL1","","C1S","BRPF3","CHD2","","","","C5AR1","CHD2","ASNSP1","","SFPQ","","","","","","","","TSPYL1","","SFPQ","","SAR1A","","","","","","","","","CFAP36","","","","C5orf34","BRD3OS","","","","C2orf76","DPP7","","","","ARID3B","C1S","ATP11C","","","ARL3","C3","ATP23","","","ARHGEF17-AS1","BST2","ASS1","","SFXN1"
"ARHGEF17","C2CD3","CA2","","TUBE1","","C2CD3","BRSK1","CHORDC1","","","","CA2","CHORDC1","ASPM","","SFXN1","","","","","","","","TUBE1","","SFXN1","","SARS1","","","","","","","","","CFAP97","","","","CABYR","BRD4","","","","C3orf62","DSCR9","","","","ARIH2","C2CD3","ATP13A2","","","ARL4A","C4orf3","ATP2B4","","","ARHGEF2","BTF3","ASXL1","","SGPL1"
"ARHGEF17-AS1","C3","CACNG4","","ULBP1","","C3","BST2","CHST2","","","","CACNG4","CHST2","ASS1","","SGPL1","","","","","","","","ULBP1","","SGPL1","","SCN4A","","","","","","","","","CFI","","","","CALM3","BRD7","","","","C4orf19","DTX2","","","","ARK2C","C3","ATP1B1","","","ARL5A","C6orf89","ATP2C2","","","ARHGEF26","BUB1","ATAD1","","SHMT2"
"ARHGEF2","C4orf3","CACYBP","","UPP1","","C4orf3","BTF3","CIZ1","","","","CACYBP","CIZ1","ASXL1","","SHMT2","","","","","","","","UPP1","","SHMT2","","SEC23IP","","","","","","","","","CHD4","","","","CALML4","BRD8","","","","C5orf34","DUSP3","","","","ARL1","C4orf3","ATP23","","","ARL6IP1","CA2","ATP5F1A","","","ARHGEF37","BUB1B","ATAD2","","SKP2"
"ARHGEF26","C6orf89","CALCB","","UTP3","","C6orf89","BUB1","CKAP2","","","","CALCB","CKAP2","ATAD1","","SKP2","","","","","","","","UTP3","","SKP2","","SESN2","","","","","","","","","CHD6","","","","CAMK2D","BRI3BP","","","","C6orf89","DYNC1LI1","","","","ARL3","C6orf89","ATP2B4","","","ARL8A","CAAP1","ATP5F1C","","","ARHGEF39","BZW1","ATF3","","SLC1A4"
"ARHGEF37","CA2","CALM1","","VCP","","CA2","BUB1B","CKAP2L","","","","CALM1","CKAP2L","ATAD2","","SLC1A4","","","","","","","","VCP","","SLC1A4","","SF3B4","","","","","","","","","CHD8","","","","CAMK2G","BRIP1","","","","CAAP1","DYNLL2","","","","ARL4A","CA2","ATP2C2","","","ARMH4","CACNG4","ATP5IF1","","","ARID3B","BZW2","ATF6","","SLC1A5"
"ARHGEF39","CAAP1","CALM3","","VEGFA","","CAAP1","BZW1","CKAP5","","","","CALM3","CKAP5","ATF3","","SLC1A5","","","","","","","","VEGFA","","SLC1A5","","SFPQ","","","","","","","","","CHEK1","","","","CAMSAP1","BSN","","","","CABYR","EBF4","","","","ARL5A","CAAP1","ATP5F1A","","","ARPC3","CACYBP","ATP5MC1","","","ARIH2","C11orf58","ATG101","","SLC25A24"
"ARID3B","CACNG4","CALR","","VLDLR-AS1","","CACNG4","BZW2","CKS2","","","","CALR","CKS2","ATF6","","SLC25A24","","","","","","","","VLDLR-AS1","","SLC25A24","","SFXN1","","","","","","","","","CHPF2","","","","CAPN1","BSPRY","","","","CALM2","ECI2","","","","ARL6IP1","CACNG4","ATP5F1C","","","ARPC5","CALM1","ATP5MC3","","","ARK2C","C15orf48","ATG13","","SLC25A44"
"ARIH2","CACYBP","CAMK2D","","WARS1","","CACYBP","C11orf58","CLGN","","","","CAMK2D","CLGN","ATG101","","SLC25A44","","","","","","","","WARS1","","SLC25A44","","SGPL1","","","","","","","","","CHST11","","","","CAPN9","BTG1","","","","CALML4","EFEMP2","","","","ARL8A","CACYBP","ATP5IF1","","","ARSA","CALM2","ATP5MF","","","ARL1","C19orf25","ATN1","","SLC3A2"
"ARK2C","CALCB","CAND1","","WBP11","","CALCB","C15orf48","CLIP4","","","","CAND1","CLIP4","ATG13","","SLC3A2","","","","","","","","WBP11","","SLC3A2","","SHMT2","","","","","","","","","CHST12","","","","CAPZA1","BTN3A2","","","","CAMK2G","EIF2A","","","","ARMH4","CALM1","ATP5MC1","","","ARSB","CALR","ATP5MG","","","ARL3","C1GALT1C1","ATP11C","","SLC6A9"
"ARL1","CALM1","CAP1","","WDR33","","CALM1","C19orf25","CLTC","","","","CAP1","CLTC","ATN1","","SLC6A9","","","","","","","","WDR33","","SLC6A9","","SKP2","","","","","","","","","CIR1","","","","CARD8-AS1","BVES","","","","CAMSAP1","EIF2B4","","","","ARPC3","CALM2","ATP5MC3","","","ARSG","CAP1","ATP5MJ","","","ARL4A","C1S","ATP13A2","","SLC7A1"
"ARL3","CALM2","CAPRIN1","","YARS1","","CALM2","C1GALT1C1","CNOT7","","","","CAPRIN1","CNOT7","ATP11C","","SLC7A1","","","","","","","","YARS1","","SLC7A1","","SLC1A4","","","","","","","","","CIRBP","","","","CARS2","C11orf68","","","","CAPN1","EIF2D","","","","ARPC5","CALR","ATP5MF","","","ASAH2B","CAPZA2","ATP5PB","","","ARL5A","C2CD3","ATP1B1","","SNHG29"
"ARL4A","CALR","CARHSP1","","ZBED3","","CALR","C1S","CNTRL","","","","CARHSP1","CNTRL","ATP13A2","","SLC7A11","","","","","","","","ZBED3","","SLC7A11","","SLC1A5","","","","","","","","","CLIC3","","","","CASK","C1RL-AS1","","","","CAPN9","EIF2S1","","","","ARSA","CAND1","ATP5MG","","","ASAP1","CARD8","ATP5PD","","","ARL6IP1","C3","ATP23","","SNTB1"
"ARL5A","CAND1","CARMIL2","","ZFAND1","","CAND1","C2CD3","COBLL1","","","","CARMIL2","COBLL1","ATP1B1","","SNHG29","","","","","","","","ZFAND1","","SNHG29","","SLC25A24","","","","","","","","","CLIP3","","","","CASP1","C1orf43","","","","CAPZA1","EIF3E","","","","ARSB","CAP1","ATP5MJ","","","ASB7","CARHSP1","ATP5PF","","","ARL8A","C4orf3","ATP2B4","","SON"
"ARL6IP1","CAP1","CARS1","","ZNF207","","CAP1","C3","COL16A1","","","","CARS1","COL16A1","ATP23","","SNTB1","","","","","","","","ZNF207","","SNTB1","","SLC25A44","","","","","","","","","CMKLR2","","","","CASP6","C21orf58","","","","CAPZA2","EIF3H","","","","ARSG","CAPRIN1","ATP5PB","","","ASB9","CARMIL2","ATP5PO","","","ARMH4","C6orf89","ATP2C2","","SOX5"
"ARL8A","CAPRIN1","CASK","","ZNF358","","CAPRIN1","C4orf3","COMMD3","","","","CASK","COMMD3","ATP2B4","","SON","","","","","","","","ZNF358","","SON","","SLC3A2","","","","","","","","","CMSS1","","","","CAVIN2","C5AR1","","","","CARD8-AS1","EIF3K","","","","ASAH2B","CAPZA2","ATP5PD","","","ASCC2","CASP7","ATP6","","","ARPC3","CA2","ATP5F1A","","SRRT"
"ARMH4","CAPZA2","CASP6","","ZNF516","","CAPZA2","C6orf89","COMMD8","","","","CASP6","COMMD8","ATP2C2","","SOX5","","","","","","","","ZNF516","","SOX5","","SLC6A9","","","","","","","","","CMTM4","","","","CC2D2A","C5orf15","","","","CARS2","EIF3M","","","","ASAP1","CARD8","ATP5PF","","","ASF1A","CASZ1","ATP6V0D1","","","ARPC5","CAAP1","ATP5F1C","","STC2"
"ARPC3","CARHSP1","CASP7","","ZNF672","","CARHSP1","CA2","COMMD9","","","","CASP7","COMMD9","ATP5F1A","","SRRT","","","","","","","","ZNF672","","SRRT","","SLC7A1","","","","","","","","","CMTM8","","","","CCAR1","C8orf82","","","","CASP1","EIF4A1","","","","ASB7","CARHSP1","ATP5PO","","","ASIC1","CAT","ATP6V0E1","","","ARSA","CACNG4","ATP5IF1","","STK40"
"ARPC5","CARMIL2","CAT","","ZSCAN18","","CARMIL2","CAAP1","COPB2","","","","CAT","COPB2","ATP5F1C","","STC2","","","","","","","","ZSCAN18","","STC2","","SLC7A11","","","","","","","","","CMTR2","","","","CCDC122","CABLES2","","","","CASZ1","EIF4B","","","","ASB9","CARMIL2","ATP6","","","ASMTL","CBARP","ATP6V0E2","","","ARSB","CACYBP","ATP5MC1","","TACC2"
"ARSA","CARS1","CAVIN2","","","","CARS1","CACNG4","COPS2","","","","CAVIN2","COPS2","ATP5IF1","","STK40","","","","","","","","","","STK40","","SNHG29","","","","","","","","","CNIH1","","","","CCDC169","CACNB3","","","","CC2D2A","EIF4G2","","","","ASCC2","CASP7","ATP6V0D1","","","ASNSP1","CBR1","ATP6V1A","","","ARSG","CALCB","ATP5MC3","","TARDBP"
"ARSB","CASP7","CBARP","","","","CASP7","CACYBP","COPS4","","","","CBARP","COPS4","ATP5MC1","","TACC2","","","","","","","","","","TACC2","","SNTB1","","","","","","","","","CNIH2","","","","CCDC174","CALM3","","","","CCAR1","ELOB","","","","ASF1A","CASZ1","ATP6V0E1","","","ASPHD1","CBR4","ATP6V1C1","","","ASAH2B","CALM1","ATP5MF","","TARS1"
"ARSG","CASZ1","CBR1","","","","CASZ1","CALCB","COQ2","","","","CBR1","COQ2","ATP5MC3","","TARDBP","","","","","","","","","","TARDBP","","SON","","","","","","","","","CNOT7","","","","CCDC50","CAMK2D","","","","CCDC12","ENO1","","","","ASIC1","CAT","ATP6V0E2","","","ASPM","CBX3","ATP6V1D","","","ASAP1","CALM2","ATP5MG","","TCP1"
"ASAH2B","CAT","CBR4","","","","CAT","CALM1","CORO1A","","","","CBR4","CORO1A","ATP5MF","","TARS1","","","","","","","","","","TARS1","","SOX5","","","","","","","","","CNPY4","","","","CCDC57","CAMKK2","","","","CCDC157","ENY2","","","","ASMTL","CBARP","ATP6V1A","","","ASRGL1","CCDC12","ATP7A","","","ASB7","CALR","ATP5MJ","","TGIF1"
"ASAP1","CBARP","CBS","","","","CBARP","CALM2","CORO1C","","","","CBS","CORO1C","ATP5MG","","TCP1","","","","","","","","","","TCP1","","SRRT","","","","","","","","","CNTN1","","","","CCDC85A","CAMTA2","","","","CCDC169","EPN2","","","","ASPHD1","CBR1","ATP6V1C1","","","ATAD1","CCDC146","ATP8","","","ASB9","CAND1","ATP5PB","","THAP9-AS1"
"ASB7","CBR1","CBX3","","","","CBR1","CALR","COX16","","","","CBX3","COX16","ATP5MJ","","TGIF1","","","","","","","","","","TGIF1","","STC2","","","","","","","","","CNTROB","","","","CCNL2","CAP2","","","","CCDC57","ERGIC1","","","","ASPM","CBR4","ATP6V1D","","","ATF3","CCDC157","ATP8B1","","","ASCC2","CAP1","ATP5PD","","TMEM268"
"ASB9","CBR4","CCDC122","","","","CBR4","CAND1","COX6B1","","","","CCDC122","COX6B1","ATP5PB","","THAP9-AS1","","","","","","","","","","THAP9-AS1","","STK40","","","","","","","","","COA8","","","","CCNYL1","CASK","","","","CCDC6","ERGIC2","","","","ASRGL1","CBS","ATP7A","","","ATF6","CCDC167","ATP9A","","","ASF1A","CAPRIN1","ATP5PF","","TNFRSF10B"
"ASCC2","CBS","CCDC146","","","","CBS","CAP1","COX7B","","","","CCDC146","COX7B","ATP5PD","","TMEM268","","","","","","","","","","TMEM268","","TACC2","","","","","","","","","COG5","","","","CD151","CASP4","","","","CCDC85A","ERGIC3","","","","ATAD1","CBX3","ATP8","","","ATG101","CCDC6","ATRIP","","","ASIC1","CAPZA2","ATP5PO","","TNS2-AS1"
"ASF1A","CBX3","CCDC167","","","","CBX3","CAPRIN1","COX7C","","","","CCDC167","COX7C","ATP5PF","","TNFRSF10B","","","","","","","","","","TNFRSF10B","","TARDBP","","","","","","","","","COL26A1","","","","CD200","CASP6","","","","CCNC","ESRP2","","","","ATF3","CCDC12","ATP8B1","","","ATG13","CCDC9B","ATXN2L","","","ASMTL","CARD8","ATP6","","TOX2"
"ASIC1","CCDC12","CCDC174","","","","CCDC12","CAPZA2","CPNE3","","","","CCDC174","CPNE3","ATP5PO","","TOX2","","","","","","","","","","TOX2","","TARS1","","","","","","","","","COL5A2","","","","CD24","CASTOR2","","","","CCT6A","ETFDH","","","","ATF6","CCDC146","ATP9A","","","ATN1","CCNA2","AUP1","","","ASNS","CARHSP1","ATP6V0D1","","TRIB3"
"ASMTL","CCDC146","CCDC50","","","","CCDC146","CARD8","CPSF3","","","","CCDC50","CPSF3","ATP6","","TRIB3","","","","","","","","","","TRIB3","","TCP1","","","","","","","","","COX2","","","","CD44","CAV1","","","","CD40","EVI5L","","","","ATG101","CCDC157","ATRIP","","","ATP10B","CCNB1","AURKA","","","ASNSP1","CARMIL2","ATP6V0E1","","TRIM24"
